Key,Signal,Long Only,Weighting,Holding,Top N,Bottom N,TCost,Ann_Return,Ann_Vol,Sharpe,MaxDD
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_5_botn_0_tc_0.001,risk_adj,True,equal,1,5,0,0.001,0.1688048638141379,0.22820602768628165,0.7397037910242956,0.9275842533814054
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_5_botn_0_tc_0.0,risk_adj,True,equal,1,5,0,0.0,0.19280486381413792,0.22820602768628165,0.8448719158250707,1.1139111663667753
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_5_botn_0_tc_0.001,risk_adj,True,equal,1,5,0,0.001,0.1688048638141379,0.22820602768628165,0.7397037910242956,0.9275842533814054
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_10_botn_0_tc_0.0,risk_adj,True,equal,1,10,0,0.0,0.18729854538490062,0.2282438326749955,0.8206072566771242,1.22531129191606
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_10_botn_0_tc_0.001,risk_adj,True,equal,1,10,0,0.001,0.1632985453849006,0.2282438326749955,0.7154565513164476,1.0809450843902906
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_10_botn_0_tc_0.0,risk_adj,True,equal,1,10,0,0.0,0.18729854538490062,0.2282438326749955,0.8206072566771242,1.22531129191606
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_10_botn_0_tc_0.001,risk_adj,True,equal,1,10,0,0.001,0.1632985453849006,0.2282438326749955,0.7154565513164476,1.0809450843902906
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_5_botn_0_tc_0.0,risk_adj,True,vol,1,5,0,0.0,0.1846069763803595,0.22078576561720106,0.8361362240192222,0.9890798577163542
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_5_botn_0_tc_0.001,risk_adj,True,vol,1,5,0,0.001,0.16060697638035948,0.22078576561720106,0.727433564076863,0.7807519482217513
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_5_botn_0_tc_0.0,risk_adj,True,vol,1,5,0,0.0,0.1846069763803595,0.22078576561720106,0.8361362240192222,0.9890798577163542
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_5_botn_0_tc_0.001,risk_adj,True,vol,1,5,0,0.001,0.16060697638035948,0.22078576561720106,0.727433564076863,0.7807519482217513
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_10_botn_0_tc_0.0,risk_adj,True,vol,1,10,0,0.0,0.17617984110317567,0.21637546996809862,0.814232043628378,1.1067434602302588
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_10_botn_0_tc_0.001,risk_adj,True,vol,1,10,0,0.001,0.15217984110317567,0.21637546996809864,0.7033137403496447,0.9596488258455984
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_10_botn_0_tc_0.0,risk_adj,True,vol,1,10,0,0.0,0.17617984110317567,0.21637546996809862,0.814232043628378,1.1067434602302588
signal_risk_adj_longonly_True_weight_vol_hold_1_topn_10_botn_0_tc_0.001,risk_adj,True,vol,1,10,0,0.001,0.15217984110317567,0.21637546996809864,0.7033137403496447,0.9596488258455984
