Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2022-12-01,2023-06-01,HEROMOTOCO.NS,Long,0.04864204350022363,2515.0380859375,2742.00537109375,0.004389656212137511
2023-01-01,2023-07-01,HEROMOTOCO.NS,Long,0.04629390936292804,2537.444091796875,3018.64599609375,0.00877919533864992
2023-02-01,2023-08-01,HEROMOTOCO.NS,Long,0.05328316948717542,2221.417236328125,2778.4306640625,0.013360588182732237
2023-07-01,2024-01-01,HEROMOTOCO.NS,Long,0.024274076603465432,3018.64599609375,4403.5927734375,0.011136881969090849
2023-08-01,2024-02-01,HEROMOTOCO.NS,Long,0.02313219090605789,2778.4306640625,4217.7412109375,0.01198316977064076
2023-12-01,2024-06-01,HEROMOTOCO.NS,Long,0.02322326085408854,3944.32421875,5403.36181640625,0.008590473005546146
2024-01-01,2024-07-01,HEROMOTOCO.NS,Long,0.02789207722201937,4403.5927734375,5315.0908203125,0.005773370794981883
2024-02-01,2024-08-01,HEROMOTOCO.NS,Long,0.02873114822308415,4217.7412109375,5283.08447265625,0.007257091801064249
2024-03-01,2024-09-01,HEROMOTOCO.NS,Long,0.02912471336983002,4573.140625,5572.580078125,0.00636507599255496
2024-04-01,2024-10-01,HEROMOTOCO.NS,Long,0.02971326091218861,4399.55224609375,4867.4228515625,0.0031598582300687147
2024-05-01,2024-11-01,HEROMOTOCO.NS,Long,0.028731772663446568,4957.8916015625,4645.150390625,-0.001812385202676757
2024-06-01,2024-12-01,HEROMOTOCO.NS,Long,0.03446613179165837,5403.36181640625,4058.762939453125,-0.008576720137317185
2024-07-01,2025-01-01,HEROMOTOCO.NS,Long,0.03439765473536083,5315.0908203125,4232.9423828125,-0.007003336270996522
2024-08-01,2025-02-01,HEROMOTOCO.NS,Long,0.029547171338497366,5283.08447265625,3590.99951171875,-0.009463472431471002
2024-09-01,2025-03-01,HEROMOTOCO.NS,Long,0.047490030310664226,5572.580078125,3722.949951171875,-0.015762714857581142
2024-10-01,2025-04-01,HEROMOTOCO.NS,Long,0.03423338682082937,4867.4228515625,3827.39990234375,-0.007314652745182414
